Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
,aria_themes,,,,,,,,,,,1.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,8.0
,,toegangsprijzen.htm,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
,logos,,,,,,,,,,,,1.0,,1.0,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,8.0
,schiphol,,,,,,,,,,,,,,,,1.0,,3.0,1.0,1.0,,,,2.0,,,,,,,,,8.0
formats,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,8.0
,,portret-van-een-vrouw,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,7.0
,home.html,,,,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0
,aanwinsten,,,,,,,,,,,,1.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,7.0
,,portret-van-een-man,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,7.0
,,bereikbaarheid.htm,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,bezoekersservice.htm,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
,,openbaarvervoer.htm,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
hetnieuwerijksmuseum,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,6.0
,,bannerfebruari,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0
,home_content_img,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0
,,metdeauto.htm,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
,aria_encyclopedia,,,,,,,,,,,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,6.0
special,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,5.0
,,documentnederland,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0
,families,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,5.0
,achtergronden,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,4.0
attachments,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,4.0
