length,year,format,object_number
2355,2001,jpg,BK-NM-4352
9009,2004,jpg,BK-NM-475
1770,2001,jpg,BK-NM-5153
1638,2001,jpg,BK-NM-5445
2552,2001,jpg,BK-NM-5671
1916,2001,jpg,BK-NM-583
2098,2002,jpg,BK-NM-5837
2332,2002,jpg,BK-NM-5850
2174,2001,jpg,BK-NM-712
3042,2001,jpg,BK-NM-7325
3489,2002,jpg,BK-NM-7402
1952,2001,jpg,BK-NM-7459
1672,2002,jpg,BK-NM-7994
1619,2001,jpg,BK-NM-7995
1940,2001,jpg,BK-NM-8009
1999,2001,jpg,BK-NM-8016
2048,2001,jpg,BK-NM-8186
2015,2001,jpg,BK-NM-8188
1738,2001,jpg,BK-NM-8201
1857,2001,jpg,BK-NM-88
1923,2001,jpg,BK-NM-8845
1896,2001,jpg,BK-NM-9001
1855,2002,jpg,BK-NM-9387
1822,2004,jpg,BK-NM-9816
2260,2001,jpg,BK-VBR-199
1912,2002,jpg,BK-VBR-395
118562,2004,jpg,BK-Am-51-5
259693,2004,jpg,BK-Am-51-6
130822,2003,jpg,BK-NM-705
33377,2004,jpg,BK-14656
4958,2004,jpg,BK-17009
9778,2004,jpg,BK-1953-19
7975,2004,jpg,BK-1953-23
15823,2004,jpg,BK-1954-43
11676,2004,jpg,BK-1954-46
4096,2004,jpg,BK-1959-47
9661,2004,jpg,BK-1964-2A
6058,2004,jpg,BK-1969-4
4313,2004,jpg,BK-1972-157
3218,2004,jpg,BK-1988-15
4913,2004,jpg,BK-KOG-149
4441,2004,jpg,BK-KOG-1710
11742,2004,jpg,BK-NM-10244
85359,2004,jpg,BK-NM-10556-A
22638,2004,jpg,BK-NM-4313
8866,2004,jpg,BK-NM-5272
20036,2004,jpg,BK-NM-5326
29272,2004,jpg,BK-NM-5327
8898,2004,jpg,BK-NM-7371
15779,2004,jpg,BK-16535
24479,2004,jpg,BK-17421
9713,2004,jpg,BK-1967-144
8421,2004,jpg,BK-1998-96
17584,2004,jpg,BK-AM-18-C
14842,2004,jpg,BK-NM-12400-91
7596,2004,jpg,BK-NM-803
1707,2003,jpg,NG-1972-17
1499,2001,jpg,NG-1977-279-2
2712,2002,jpg,NG-1977-4
2238,2001,jpg,NG-1983-16-A
6844,2003,jpg,NG-1983-3-A
1927,2002,jpg,NG-1991-8
1935,2001,jpg,NG-1993-2
1900,2003,jpg,NG-1997-1
7257,2004,jpg,NG-1998-7-10
1660,2002,jpg,NG-2000-5
1831,2003,jpg,NG-311
1511,2001,jpg,NG-402
3150,2001,jpg,NG-412
2126,2002,jpg,NG-444
2443,2002,jpg,NG-519
2339,2001,jpg,NG-530
1902,2001,jpg,NG-532
3074,2001,jpg,NG-539
1699,2000,jpg,NG-709-1
1885,2001,jpg,NG-71-A
2233,2001,jpg,NG-721
2390,2001,jpg,NG-731
2164,2001,jpg,NG-C-1995-25-1
2068,2001,jpg,NG-KOG-2654
3152,2002,jpg,NG-MC-1269
2575,2002,jpg,NG-MC-1412
2881,2001,jpg,NG-MC-239
1630,2001,jpg,NG-MC-829
2292,2002,jpg,NG-NM-10998
